Loading surrogate from checkpoints/phenomd_nonspinning_dense45.pt ...

     q    KC_min   KC_mean    KC_max
 0.100      0.16      1.60     68.00
 0.120      0.12      1.48     65.53
 0.140      0.11      1.43     64.28
 0.160      0.11      1.40     63.30
 0.180      0.10      1.38     62.69
 0.200      0.10      1.36     62.32
 0.220      0.10      1.35     62.05
 0.240      0.09      1.35     61.82
 0.260      0.09      1.34     61.54
 0.280      0.09      1.32     61.13
 0.300      0.09      1.31     60.59
 0.320      0.09      1.29     60.24
 0.340      0.09      1.29     60.08
 0.360      0.09      1.29     59.98
 0.380      0.09      1.28     59.91
 0.400      0.08      1.28     59.85
 0.420      0.08      1.28     59.77
 0.440      0.08      1.28     59.72
 0.460      0.08      1.27     59.69
 0.480      0.08      1.27     59.68
 0.500      0.08      1.27     59.65
 0.520      0.08      1.27     59.62
 0.540      0.08      1.27     59.59
 0.560      0.08      1.27     59.57
 0.580      0.08      1.27     59.53
 0.600      0.08      1.27     59.53
 0.620      0.08      1.27     59.53
 0.640      0.08      1.27     59.55
 0.660      0.08      1.27     59.55
 0.680      0.08      1.27     59.55
 0.700      0.08      1.27     59.51
 0.720      0.08      1.26     59.47
 0.740      0.08      1.26     59.45
 0.760      0.08      1.26     59.45
 0.780      0.08      1.26     59.46
 0.800      0.08      1.26     59.44
 0.820      0.08      1.26     59.43
 0.840      0.08      1.26     59.42
 0.860      0.08      1.26     59.41
 0.880      0.08      1.26     59.41
 0.900      0.08      1.26     59.45
 0.920      0.08      1.27     59.52
 0.940      0.08      1.27     59.71
 0.960      0.08      1.29     60.28
 0.980      0.10      1.37     62.26

Overall across 45 q values:
  mean(K/C mean) = 1.30
  max(K/C mean)  = 1.60  at q=0.100
  frac q-points with mean K/C < 1: 0%
