Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.5, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 299.7
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, with waveform uncertainty) ...

0it [00:00, ?it/s]
33it [00:04,  6.70it/s, bound: 0 | nc: 1 | ncall: 285 | eff(%): 11.579 | loglstar:   -inf < -82266.890 <    inf | logz: -82273.236 +/-  0.159 | dlogz: 84517.727 >  0.500]
34it [00:04,  6.84it/s, bound: 0 | nc: 1 | ncall: 286 | eff(%): 11.888 | loglstar:   -inf < -81923.105 <    inf | logz: -81929.456 +/-  0.159 | dlogz: 84273.122 >  0.500]
35it [00:04,  7.34it/s, bound: 0 | nc: 1 | ncall: 287 | eff(%): 12.195 | loglstar:   -inf < -81878.864 <    inf | logz: -81885.218 +/-  0.159 | dlogz: 83929.337 >  0.500]
36it [00:05,  6.61it/s, bound: 0 | nc: 1 | ncall: 288 | eff(%): 12.500 | loglstar:   -inf < -81217.372 <    inf | logz: -81223.730 +/-  0.159 | dlogz: 83885.096 >  0.500]
37it [00:05,  5.97it/s, bound: 0 | nc: 1 | ncall: 289 | eff(%): 12.803 | loglstar:   -inf < -81112.412 <    inf | logz: -81118.774 +/-  0.159 | dlogz: 83223.604 >  0.500]
38it [00:05,  5.39it/s, bound: 0 | nc: 1 | ncall: 290 | eff(%): 13.103 | loglstar:   -inf < -80204.652 <    inf | logz: -80211.019 +/-  0.159 | dlogz: 83118.644 >  0.500]
39it [00:05,  5.28it/s, bound: 0 | nc: 1 | ncall: 291 | eff(%): 13.402 | loglstar:   -inf < -80139.545 <    inf | logz: -80145.915 +/-  0.159 | dlogz: 82210.884 >  0.500]
40it [00:06,  4.13it/s, bound: 0 | nc: 2 | ncall: 293 | eff(%): 13.652 | loglstar:   -inf < -79706.415 <    inf | logz: -79712.789 +/-  0.160 | dlogz: 82145.777 >  0.500]
41it [00:06,  4.20it/s, bound: 0 | nc: 1 | ncall: 294 | eff(%): 13.946 | loglstar:   -inf < -79524.786 <    inf | logz: -79531.164 +/-  0.160 | dlogz: 81712.646 >  0.500]
42it [00:06,  4.10it/s, bound: 0 | nc: 1 | ncall: 295 | eff(%): 14.237 | loglstar:   -inf < -79114.862 <    inf | logz: -79121.244 +/-  0.160 | dlogz: 81531.018 >  0.500]
43it [00:06,  4.05it/s, bound: 0 | nc: 1 | ncall: 296 | eff(%): 14.527 | loglstar:   -inf < -78527.155 <    inf | logz: -78533.542 +/-  0.160 | dlogz: 81121.094 >  0.500]
44it [00:07,  4.08it/s, bound: 0 | nc: 1 | ncall: 297 | eff(%): 14.815 | loglstar:   -inf < -78524.697 <    inf | logz: -78530.929 +/-  0.153 | dlogz: 80533.387 >  0.500]
45it [00:07,  4.15it/s, bound: 0 | nc: 1 | ncall: 298 | eff(%): 15.101 | loglstar:   -inf < -78219.734 <    inf | logz: -78226.128 +/-  0.160 | dlogz: 80530.771 >  0.500]
46it [00:07,  4.26it/s, bound: 0 | nc: 1 | ncall: 299 | eff(%): 15.385 | loglstar:   -inf < -78174.811 <    inf | logz: -78181.209 +/-  0.160 | dlogz: 80225.966 >  0.500]
47it [00:07,  4.19it/s, bound: 0 | nc: 1 | ncall: 300 | eff(%): 15.667 | loglstar:   -inf < -78102.444 <    inf | logz: -78108.846 +/-  0.160 | dlogz: 80181.043 >  0.500]
48it [00:08,  3.37it/s, bound: 0 | nc: 2 | ncall: 302 | eff(%): 15.894 | loglstar:   -inf < -78046.199 <    inf | logz: -78052.605 +/-  0.160 | dlogz: 80108.675 >  0.500]
49it [00:08,  3.66it/s, bound: 0 | nc: 1 | ncall: 303 | eff(%): 16.172 | loglstar:   -inf < -77784.189 <    inf | logz: -77790.599 +/-  0.160 | dlogz: 80052.431 >  0.500]
50it [00:08,  3.94it/s, bound: 0 | nc: 1 | ncall: 304 | eff(%): 16.447 | loglstar:   -inf < -77752.058 <    inf | logz: -77758.473 +/-  0.160 | dlogz: 79790.421 >  0.500]
51it [00:08,  4.17it/s, bound: 0 | nc: 1 | ncall: 305 | eff(%): 16.721 | loglstar:   -inf < -77454.417 <    inf | logz: -77460.835 +/-  0.160 | dlogz: 79758.290 >  0.500]
52it [00:09,  4.12it/s, bound: 0 | nc: 1 | ncall: 306 | eff(%): 16.993 | loglstar:   -inf < -76588.886 <    inf | logz: -76595.308 +/-  0.160 | dlogz: 79460.648 >  0.500]
53it [00:09,  4.20it/s, bound: 0 | nc: 1 | ncall: 307 | eff(%): 17.264 | loglstar:   -inf < -76506.688 <    inf | logz: -76513.114 +/-  0.160 | dlogz: 78595.118 >  0.500]
54it [00:10,  2.68it/s, bound: 0 | nc: 3 | ncall: 310 | eff(%): 17.419 | loglstar:   -inf < -76474.573 <    inf | logz: -76481.003 +/-  0.160 | dlogz: 78512.920 >  0.500]
55it [00:10,  2.48it/s, bound: 0 | nc: 2 | ncall: 312 | eff(%): 17.628 | loglstar:   -inf < -75468.699 <    inf | logz: -75475.133 +/-  0.160 | dlogz: 78480.805 >  0.500]
56it [00:10,  2.88it/s, bound: 0 | nc: 1 | ncall: 313 | eff(%): 17.891 | loglstar:   -inf < -74960.484 <    inf | logz: -74966.922 +/-  0.160 | dlogz: 77474.931 >  0.500]
57it [00:10,  3.27it/s, bound: 0 | nc: 1 | ncall: 314 | eff(%): 18.153 | loglstar:   -inf < -74822.520 <    inf | logz: -74828.962 +/-  0.160 | dlogz: 76966.716 >  0.500]
58it [00:11,  3.58it/s, bound: 0 | nc: 1 | ncall: 315 | eff(%): 18.413 | loglstar:   -inf < -74602.121 <    inf | logz: -74608.567 +/-  0.160 | dlogz: 76828.752 >  0.500]
59it [00:11,  3.27it/s, bound: 0 | nc: 2 | ncall: 317 | eff(%): 18.612 | loglstar:   -inf < -74572.039 <    inf | logz: -74578.489 +/-  0.160 | dlogz: 76608.352 >  0.500]
60it [00:11,  3.65it/s, bound: 0 | nc: 1 | ncall: 318 | eff(%): 18.868 | loglstar:   -inf < -74355.454 <    inf | logz: -74361.908 +/-  0.161 | dlogz: 76578.271 >  0.500]
61it [00:11,  3.98it/s, bound: 0 | nc: 1 | ncall: 319 | eff(%): 19.122 | loglstar:   -inf < -74245.883 <    inf | logz: -74252.341 +/-  0.161 | dlogz: 76361.686 >  0.500]
62it [00:11,  4.81it/s, bound: 0 | nc: 1 | ncall: 320 | eff(%): 19.375 | loglstar:   -inf < -74184.400 <    inf | logz: -74190.862 +/-  0.161 | dlogz: 76252.115 >  0.500]
63it [00:12,  5.63it/s, bound: 0 | nc: 1 | ncall: 321 | eff(%): 19.626 | loglstar:   -inf < -74161.979 <    inf | logz: -74168.445 +/-  0.161 | dlogz: 76190.632 >  0.500]
64it [00:12,  5.41it/s, bound: 0 | nc: 2 | ncall: 323 | eff(%): 19.814 | loglstar:   -inf < -73972.898 <    inf | logz: -73979.368 +/-  0.161 | dlogz: 76168.211 >  0.500]
65it [00:12,  6.20it/s, bound: 0 | nc: 1 | ncall: 324 | eff(%): 20.062 | loglstar:   -inf < -73882.720 <    inf | logz: -73889.194 +/-  0.161 | dlogz: 75979.130 >  0.500]
67it [00:12,  7.54it/s, bound: 0 | nc: 1 | ncall: 326 | eff(%): 20.552 | loglstar:   -inf < -73619.421 <    inf | logz: -73625.903 +/-  0.161 | dlogz: 75850.617 >  0.500]
69it [00:12,  8.40it/s, bound: 0 | nc: 1 | ncall: 328 | eff(%): 21.037 | loglstar:   -inf < -71866.718 <    inf | logz: -71873.208 +/-  0.161 | dlogz: 73965.234 >  0.500]
71it [00:13,  8.90it/s, bound: 0 | nc: 1 | ncall: 330 | eff(%): 21.515 | loglstar:   -inf < -71504.476 <    inf | logz: -71510.974 +/-  0.161 | dlogz: 73809.184 >  0.500]
73it [00:13,  9.30it/s, bound: 0 | nc: 1 | ncall: 332 | eff(%): 21.988 | loglstar:   -inf < -70421.285 <    inf | logz: -70427.791 +/-  0.161 | dlogz: 73089.619 >  0.500]
75it [00:13,  9.53it/s, bound: 0 | nc: 1 | ncall: 334 | eff(%): 22.455 | loglstar:   -inf < -70027.129 <    inf | logz: -70033.643 +/-  0.161 | dlogz: 72056.122 >  0.500]
76it [00:13,  8.14it/s, bound: 0 | nc: 2 | ncall: 336 | eff(%): 22.619 | loglstar:   -inf < -69549.885 <    inf | logz: -69556.403 +/-  0.161 | dlogz: 72033.361 >  0.500]
77it [00:13,  7.15it/s, bound: 0 | nc: 2 | ncall: 338 | eff(%): 22.781 | loglstar:   -inf < -69463.682 <    inf | logz: -69470.204 +/-  0.161 | dlogz: 71556.117 >  0.500]
79it [00:14,  7.01it/s, bound: 0 | nc: 2 | ncall: 341 | eff(%): 23.167 | loglstar:   -inf < -67990.243 <    inf | logz: -67996.773 +/-  0.161 | dlogz: 70979.751 >  0.500]
80it [00:14,  4.33it/s, bound: 0 | nc: 4 | ncall: 345 | eff(%): 23.188 | loglstar:   -inf < -67843.752 <    inf | logz: -67850.286 +/-  0.162 | dlogz: 69996.475 >  0.500]
81it [00:14,  4.30it/s, bound: 0 | nc: 1 | ncall: 346 | eff(%): 23.410 | loglstar:   -inf < -67487.660 <    inf | logz: -67494.198 +/-  0.162 | dlogz: 69849.983 >  0.500]
