Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, with waveform uncertainty) ...

0it [00:00, ?it/s]
32it [00:05,  4.13it/s, bound: 0 | nc: 1 | ncall: 283 | eff(%): 11.307 | loglstar:   -inf < -59119.883 <    inf | logz: -59126.226 +/-  0.159 | dlogz: 68294.343 >  0.500]
33it [00:05,  4.36it/s, bound: 0 | nc: 1 | ncall: 284 | eff(%): 11.620 | loglstar:   -inf < -58667.854 <    inf | logz: -58674.200 +/-  0.159 | dlogz: 67475.766 >  0.500]
34it [00:05,  4.58it/s, bound: 0 | nc: 1 | ncall: 285 | eff(%): 11.930 | loglstar:   -inf < -58642.760 <    inf | logz: -58649.111 +/-  0.159 | dlogz: 67023.736 >  0.500]
35it [00:05,  4.60it/s, bound: 0 | nc: 1 | ncall: 286 | eff(%): 12.238 | loglstar:   -inf < -58637.867 <    inf | logz: -58644.206 +/-  0.158 | dlogz: 66998.643 >  0.500]
36it [00:06,  4.45it/s, bound: 0 | nc: 1 | ncall: 287 | eff(%): 12.544 | loglstar:   -inf < -58332.387 <    inf | logz: -58338.745 +/-  0.159 | dlogz: 66993.734 >  0.500]
37it [00:06,  4.86it/s, bound: 0 | nc: 1 | ncall: 288 | eff(%): 12.847 | loglstar:   -inf < -57136.380 <    inf | logz: -57142.742 +/-  0.159 | dlogz: 66688.269 >  0.500]
38it [00:06,  4.95it/s, bound: 0 | nc: 1 | ncall: 289 | eff(%): 13.149 | loglstar:   -inf < -56967.012 <    inf | logz: -56973.378 +/-  0.159 | dlogz: 65492.262 >  0.500]
39it [00:06,  5.00it/s, bound: 0 | nc: 1 | ncall: 290 | eff(%): 13.448 | loglstar:   -inf < -56284.082 <    inf | logz: -56290.452 +/-  0.159 | dlogz: 65322.895 >  0.500]
40it [00:06,  5.00it/s, bound: 0 | nc: 1 | ncall: 291 | eff(%): 13.746 | loglstar:   -inf < -56262.173 <    inf | logz: -56268.547 +/-  0.160 | dlogz: 64639.964 >  0.500]
41it [00:07,  4.94it/s, bound: 0 | nc: 1 | ncall: 292 | eff(%): 14.041 | loglstar:   -inf < -55876.620 <    inf | logz: -55882.998 +/-  0.160 | dlogz: 64618.055 >  0.500]
42it [00:07,  4.48it/s, bound: 0 | nc: 1 | ncall: 293 | eff(%): 14.334 | loglstar:   -inf < -55412.291 <    inf | logz: -55418.673 +/-  0.160 | dlogz: 64232.502 >  0.500]
43it [00:07,  4.62it/s, bound: 0 | nc: 1 | ncall: 294 | eff(%): 14.626 | loglstar:   -inf < -55358.998 <    inf | logz: -55365.385 +/-  0.160 | dlogz: 63768.173 >  0.500]
44it [00:07,  4.57it/s, bound: 0 | nc: 1 | ncall: 295 | eff(%): 14.915 | loglstar:   -inf < -54787.712 <    inf | logz: -54794.102 +/-  0.160 | dlogz: 63714.881 >  0.500]
45it [00:08,  3.69it/s, bound: 0 | nc: 2 | ncall: 297 | eff(%): 15.152 | loglstar:   -inf < -54451.166 <    inf | logz: -54457.561 +/-  0.160 | dlogz: 63143.594 >  0.500]
46it [00:08,  4.01it/s, bound: 0 | nc: 1 | ncall: 298 | eff(%): 15.436 | loglstar:   -inf < -53637.988 <    inf | logz: -53644.387 +/-  0.160 | dlogz: 62807.049 >  0.500]
