Segment: 256 samples @ 512.0 Hz (0.5 s)
Loading surrogate from checkpoints/phenomd_nonspinning_dense30.pt on cuda ...
Antenna patterns (H1): F+ = 0.075  F× = -0.887
Building noise covariance matrix ...
Injecting signal at q=0.7, tc=1187008882.43 (reference approximant: IMRPhenomD) ...
Optimal SNR (HP-filtered, >=20 Hz) = 316.9
Prior: mass_ratio in [0.4, 0.95], tc in [1187008882.425000, 1187008882.435000]
Running dynesty (nlive=250, dlogz=0.5, without waveform uncertainty) ...

0it [00:00, ?it/s]
55it [00:06,  7.86it/s, bound: 0 | nc: 2 | ncall: 312 | eff(%): 17.628 | loglstar:   -inf < -76340.461 <    inf | logz: -76346.895 +/-  0.160 | dlogz: 83398.194 >  0.500]
56it [00:06,  7.09it/s, bound: 0 | nc: 2 | ncall: 314 | eff(%): 17.834 | loglstar:   -inf < -76209.713 <    inf | logz: -76216.151 +/-  0.160 | dlogz: 83288.233 >  0.500]
58it [00:06,  7.99it/s, bound: 0 | nc: 1 | ncall: 316 | eff(%): 18.354 | loglstar:   -inf < -75557.692 <    inf | logz: -75564.138 +/-  0.160 | dlogz: 82573.866 >  0.500]
60it [00:06,  8.63it/s, bound: 0 | nc: 1 | ncall: 318 | eff(%): 18.868 | loglstar:   -inf < -75006.818 <    inf | logz: -75013.272 +/-  0.161 | dlogz: 82050.008 >  0.500]
62it [00:06,  9.09it/s, bound: 0 | nc: 1 | ncall: 320 | eff(%): 19.375 | loglstar:   -inf < -73861.715 <    inf | logz: -73868.177 +/-  0.161 | dlogz: 81086.623 >  0.500]
64it [00:07,  7.29it/s, bound: 0 | nc: 3 | ncall: 324 | eff(%): 19.753 | loglstar:   -inf < -73368.790 <    inf | logz: -73375.260 +/-  0.161 | dlogz: 80531.171 >  0.500]
66it [00:07,  8.01it/s, bound: 0 | nc: 1 | ncall: 326 | eff(%): 20.245 | loglstar:   -inf < -72848.909 <    inf | logz: -72855.387 +/-  0.161 | dlogz: 79971.210 >  0.500]
68it [00:07,  7.60it/s, bound: 0 | nc: 2 | ncall: 329 | eff(%): 20.669 | loglstar:   -inf < -72086.527 <    inf | logz: -72093.013 +/-  0.161 | dlogz: 79095.127 >  0.500]
69it [00:07,  6.99it/s, bound: 0 | nc: 2 | ncall: 331 | eff(%): 20.846 | loglstar:   -inf < -71880.461 <    inf | logz: -71886.951 +/-  0.161 | dlogz: 79034.299 >  0.500]
71it [00:08,  7.83it/s, bound: 0 | nc: 1 | ncall: 333 | eff(%): 21.321 | loglstar:   -inf < -71448.932 <    inf | logz: -71455.431 +/-  0.161 | dlogz: 78537.657 >  0.500]
73it [00:08,  8.47it/s, bound: 0 | nc: 1 | ncall: 335 | eff(%): 21.791 | loglstar:   -inf < -71335.964 <    inf | logz: -71342.470 +/-  0.161 | dlogz: 78308.883 >  0.500]
75it [00:08,  8.95it/s, bound: 0 | nc: 1 | ncall: 337 | eff(%): 22.255 | loglstar:   -inf < -70093.484 <    inf | logz: -70099.998 +/-  0.161 | dlogz: 77131.012 >  0.500]
77it [00:08,  9.06it/s, bound: 0 | nc: 1 | ncall: 339 | eff(%): 22.714 | loglstar:   -inf < -68776.061 <    inf | logz: -68782.583 +/-  0.161 | dlogz: 75819.293 >  0.500]
78it [00:09,  6.96it/s, bound: 0 | nc: 3 | ncall: 342 | eff(%): 22.807 | loglstar:   -inf < -68726.153 <    inf | logz: -68732.679 +/-  0.161 | dlogz: 75723.833 >  0.500]
80it [00:09,  7.81it/s, bound: 0 | nc: 1 | ncall: 344 | eff(%): 23.256 | loglstar:   -inf < -67869.897 <    inf | logz: -67876.431 +/-  0.162 | dlogz: 75380.641 >  0.500]
82it [00:09,  8.45it/s, bound: 0 | nc: 1 | ncall: 346 | eff(%): 23.699 | loglstar:   -inf < -65986.321 <    inf | logz: -65992.863 +/-  0.162 | dlogz: 74321.244 >  0.500]
84it [00:09,  8.93it/s, bound: 0 | nc: 1 | ncall: 348 | eff(%): 24.138 | loglstar:   -inf < -63757.402 <    inf | logz: -63763.952 +/-  0.162 | dlogz: 71973.939 >  0.500]
86it [00:09,  9.28it/s, bound: 0 | nc: 1 | ncall: 350 | eff(%): 24.571 | loglstar:   -inf < -62310.877 <    inf | logz: -62317.435 +/-  0.162 | dlogz: 70142.989 >  0.500]
88it [00:10,  9.55it/s, bound: 0 | nc: 1 | ncall: 352 | eff(%): 25.000 | loglstar:   -inf < -62042.518 <    inf | logz: -62049.084 +/-  0.162 | dlogz: 69232.256 >  0.500]
90it [00:10,  9.74it/s, bound: 0 | nc: 1 | ncall: 354 | eff(%): 25.424 | loglstar:   -inf < -61097.641 <    inf | logz: -61104.215 +/-  0.162 | dlogz: 68178.991 >  0.500]
91it [00:10,  8.39it/s, bound: 0 | nc: 2 | ncall: 356 | eff(%): 25.562 | loglstar:   -inf < -60968.471 <    inf | logz: -60975.049 +/-  0.162 | dlogz: 68045.413 >  0.500]
93it [00:10,  6.88it/s, bound: 0 | nc: 3 | ncall: 360 | eff(%): 25.833 | loglstar:   -inf < -60444.061 <    inf | logz: -60450.646 +/-  0.162 | dlogz: 67555.909 >  0.500]
